CensusTract,TotalPopulation,Ozone,PM25,DieselPM,DrinkingWater,Lead,ToxRelease,Traffic,GroundwaterThreats,HazWaste,ImpWaterBodies,SolidWaste,Education,LinguisticIsolation,Poverty,Unemployment,Asthma
39,4851,0.03,8.555477036,1.821,108.41,77.01,709.5366618,2390.343375,36.75,0.06,11.0,0.8,26.0,19.6,32.4,4.9,76.53
40,3148,0.039,8.930079122,0.549,289.69,85.37,88.21870167,2340.271121,19.2,1.235,3.0,5.6,28.7,31.3,47.1,4.1,64.26
41,3002,0.027,9.691613752,0.967,108.41,57.41,774.2876791,2257.882676,353.7,1.52,10.0,8.0,5.9,3.3,25.3,8.0,129.36
42,5518,0.039,8.620599954,0.1,504.45,59.21,839.1280111,1021.980995,40.5,0.5,6.0,2.0,27.3,13.4,33.5,5.9,113.29
43,5875,0.031,7.964033572,0.465,400.53,77.28,96.25466663,2063.766865,130.7,2.02,0.0,8.5,31.8,21.0,40.0,2.9,81.62
44,7075,0.032,8.20283271,0.346,809.46,93.8,116.6966985,1798.483642,21.1,1.175,12.0,0.0,27.7,11.8,35.5,8.9,61.77
45,9047,0.04,8.805706927,0.25,332.77,66.75,1171.13796,1762.104939,10.5,1.0,9.0,0.7,31.0,15.7,45.0,6.2,135.71
47,1794,0.027,9.737947129,0.703,108.41,87.33,713.2296753,73.72950091,77.0,0.175,10.0,4.0,10.9,3.8,43.3,6.9,152.43
48,5095,0.028,8.671445102,1.33,257.97,76.7,465.5283508,2378.471154,3.2,1.05,10.0,5.8,27.0,20.4,32.5,5.1,123.98
49,4912,0.03,9.153314907,0.578,108.41,76.08,2849.839966,754.1289893,19.5,2.3,2.0,0.0,44.2,19.2,47.8,7.6,101.07
50,4331,0.027,10.12088161,1.259,108.41,79.41,753.7273356,1456.701015,240.6,1.06,11.0,0.0,15.5,6.3,58.7,6.6,81.9
51,3279,0.028,8.63177743,0.381,368.58,81.54,299.8849996,1820.124321,48.2,1.025,10.0,0.0,31.6,21.7,47.2,4.9,61.61
52,4293,0.028,8.629554042,0.668,257.97,84.72,476.2013347,455.6153875,3.7,2.8,14.0,7.0,29.9,23.4,32.0,11.3,123.98
53,7635,0.037,8.842408502,0.324,252.41,70.22,1510.0,2997.02076,44.35,0.425,2.0,0.5,16.7,11.2,28.7,7.4,86.0
54,2269,0.027,10.12088161,0.451,108.41,85.05,733.4173381,552.4033852,222.1,0.56,10.0,0.4,11.2,11.5,43.6,6.7,114.33
55,3564,0.041,8.724056076,0.167,278.95,37.74,1567.793294,425.0042322,66.8,12.7,21.0,9.0,7.6,1.4,29.1,14.6,102.42
56,10124,0.043,8.214732915,0.021,876.61,28.97,269.8303274,287.8902401,90.75,3.26,22.0,18.2,7.5,2.4,27.3,8.0,81.35
57,6894,0.028,9.109593523,0.563,108.41,90.49,581.9289958,500.2496981,103.8,0.01,11.0,0.45,46.6,28.3,56.5,9.9,129.22
59,4167,0.028,8.803655476,0.656,518.78,69.43,294.9046631,1631.123507,267.85,13.135,11.0,16.2,17.8,8.4,28.7,6.4,59.96
60,7597,0.039,8.990585175,0.691,289.69,67.94,85.7872009,1559.595971,37.75,0.25,4.0,4.2,21.4,9.7,49.3,7.0,63.73
61,3855,0.027,9.771344995,0.966,108.41,39.52,736.3429972,1724.787365,321.35,2.495,11.0,0.0,14.5,11.5,46.8,7.5,109.78
63,4560,0.029,8.831343231,0.371,108.41,94.56,571.6220093,571.6847921,27.3,0.0,10.0,0.6,46.7,23.1,72.9,10.7,115.64
64,3456,0.028,8.747823793,2.605,257.97,54.06,448.7899984,1785.72982,1.25,0.25,10.0,9.0,27.6,28.1,34.0,9.7,123.98
65,4484,0.027,9.416794882,0.905,108.67,23.26,611.967987,1011.03674,570.9,3.97,11.0,6.0,14.7,11.6,33.1,11.7,64.7
66,5833,0.035,8.892141302,0.157,574.05,43.13,1139.209005,1226.190149,11.5,0.035,2.0,5.1,17.6,10.7,35.6,16.9,243.29
67,5929,0.038,8.836600438,0.516,439.47,49.3,212.7121989,2739.121583,98.25,15.44,3.0,32.35,26.7,32.6,33.7,9.1,36.67
68,2529,0.039,9.072356839,0.379,289.69,36.31,79.63339743,2395.507618,36.5,6.61,3.0,10.5,34.8,53.1,39.4,8.2,54.38
69,2663,0.027,9.890660139,0.626,108.41,66.5,764.7543234,605.9409867,169.45,0.585,10.0,1.0,11.9,5.9,42.9,6.7,103.03
70,3659,0.03,9.173241749,0.358,108.41,74.46,2399.873373,475.1955506,18.75,0.55,11.0,0.5,37.1,13.9,38.6,3.7,102.27
72,4855,0.039,9.082305054,0.63,289.69,77.45,83.10016887,4192.282207,27.25,0.25,3.0,8.5,37.8,25.2,54.0,5.6,53.07
73,6024,0.027,9.618671793,1.484,108.41,74.69,816.4623209,1454.943298,169.75,0.31,10.0,0.0,14.7,4.2,29.6,7.2,92.46
74,7336,0.03,9.081541597,0.849,108.41,62.21,2086.160991,1331.891912,13.5,0.5,2.0,0.0,31.8,29.7,50.0,6.6,85.63
75,4639,0.027,9.918430785,0.645,108.41,64.19,694.8693339,637.0573432,242.8,2.92,11.0,0.1,16.0,14.8,45.4,7.5,122.65
76,5141,0.039,9.057390764,0.756,289.69,56.64,78.55319977,4780.572058,19.0,0.5,3.0,0.8,54.1,33.1,60.7,6.5,71.35
77,10333,0.033,8.315570206,0.167,701.61,67.09,92.0830358,1333.976635,142.25,0.545,12.0,6.0,34.9,10.2,28.3,2.7,62.66
78,4751,0.028,9.253196839,0.351,108.41,89.18,590.2493388,622.9669463,83.2,0.02,11.0,0.0,34.3,35.3,59.9,5.9,129.22
79,1196,0.027,9.942820267,1.094,108.41,52.04,678.6083476,906.461293,126.85,2.295,10.0,0.0,23.3,34.1,68.7,12.4,133.48
80,2471,0.027,9.455344585,0.35,108.41,72.31,873.9923503,590.0743735,141.3,0.535,10.0,0.0,8.4,9.5,32.8,7.1,119.2
81,7343,0.032,8.644264692,0.074,391.5,34.95,1107.126994,1868.584695,142.0,6.26,11.0,22.5,13.9,5.6,19.5,4.9,91.26
82,5281,0.035,8.979333535,0.109,297.4,53.17,1154.025675,1848.141819,20.5,0.25,2.0,5.25,13.8,6.5,37.9,11.5,243.29
83,2979,0.028,9.478637686,0.381,108.41,84.24,622.8190002,324.2109418,38.75,0.05,14.0,0.0,43.0,29.1,50.2,13.0,99.29
84,2377,0.041,6.173595689,0.093,844.63,53.49,11.5876999,837.5408527,24.25,0.3,22.0,32.0,24.1,13.7,26.4,5.0,56.99
85,2648,0.034,9.097854708,0.23,297.4,81.83,906.9556477,350.1277777,32.95,0.11,5.0,1.5,12.4,7.3,47.5,7.7,199.35
86,4348,0.028,9.478637686,0.36,108.41,90.76,609.4726664,363.895698,37.0,0.06,15.0,0.0,45.0,37.7,67.9,8.5,97.64
87,8740,0.028,8.808855773,0.231,368.58,76.29,290.5493368,1093.674026,88.3,4.185,10.0,0.3,26.5,19.6,30.8,4.6,61.61
88,7625,0.031,8.676042456,0.685,108.41,74.47,572.5159912,2726.551899,37.05,0.15,1.0,8.0,15.4,16.0,40.2,4.7,89.69
89,4399,0.029,8.92464515,0.395,108.41,95.17,577.8266703,365.5385258,73.65,0.01,10.0,0.75,40.3,18.1,52.9,12.3,129.22
90,5273,0.042,8.683198889,0.319,238.61,85.53,404.9266612,928.1914488,21.6,0.0,13.0,0.0,27.2,9.2,51.5,11.7,171.45
91,7323,0.039,8.806292078,0.11,332.91,78.46,1171.323669,409.711349,8.5,0.0,9.0,0.0,38.2,20.3,54.4,11.8,135.71
92,4851,0.028,8.750025922,2.026,599.27,42.46,429.7863261,1374.457732,97.4,1.65,11.0,22.85,14.5,11.2,24.3,7.0,68.35
93,4845,0.039,9.082305054,0.667,289.69,69.96,81.64379883,4004.463197,21.25,0.25,3.0,0.6,39.8,26.9,48.5,12.8,74.8
94,5115,0.042,8.738928229,0.221,238.46,84.73,302.9946645,691.1693811,43.5,0.1,13.0,0.0,21.0,8.1,30.3,4.0,171.45
95,8125,0.029,8.602290499,0.388,503.05,78.54,253.5886663,1098.858229,62.6,0.01,9.0,2.6,25.0,9.6,31.9,7.7,57.65
96,6376,0.029,8.984607609,0.747,108.41,34.28,2264.210062,1181.281932,52.95,2.685,14.0,0.0,8.9,9.0,28.9,7.0,158.82
97,4905,0.031,7.874057394,0.214,701.46,83.38,96.2523346,536.1992385,60.8,1.09,0.0,8.0,33.6,16.7,38.2,4.1,67.69
98,4092,0.039,8.920972219,0.498,289.69,53.53,83.31790163,1071.243873,58.65,4.31,4.0,5.1,27.6,19.4,41.1,7.1,48.88
99,8621,0.031,7.288557989,0.083,854.52,46.32,0.0040985,1311.376048,56.2,0.16,4.0,17.0,27.7,8.3,40.4,7.7,71.97
100,4816,0.034,8.965356494,0.216,623.74,51.81,912.2359821,1342.463617,16.0,0.1,0.0,6.0,17.9,6.5,35.1,4.5,228.91
101,3966,0.037,8.845924874,0.507,252.41,80.13,1049.90269,3167.539218,12.8,0.01,1.0,0.0,24.4,18.0,37.0,12.8,98.8
102,5368,0.039,9.273947034,0.697,289.69,68.57,80.92480217,2809.592955,18.15,0.635,1.0,0.0,36.5,29.9,46.6,7.7,86.48
103,3151,0.031,8.121197297,0.505,397.2,48.77,95.88316853,1946.473033,225.35,1.32,0.0,2.1,13.3,11.1,24.4,5.2,72.75
104,4444,0.039,8.856507559,0.459,289.69,49.99,83.5992991,3020.454171,9.0,1.1,1.0,0.0,33.2,43.4,45.5,7.0,86.6
105,4854,0.041,6.35758576,0.342,362.52,60.82,2.3200499,1747.125276,36.5,0.0,0.0,0.0,37.6,8.2,37.4,8.2,59.06
106,3830,0.028,8.706155254,1.068,257.97,74.06,464.8240051,481.8566565,1.95,0.775,10.0,8.55,19.3,20.0,27.2,6.1,123.98
107,5782,0.028,8.553888221,1.397,257.97,30.92,568.064331,1455.396848,16.4,1.815,16.0,1.5,9.6,14.7,47.6,5.2,87.67
108,3144,0.039,8.817036264,0.341,289.69,30.51,79.10920203,927.5316135,57.75,11.275,3.0,22.0,27.3,32.4,54.3,8.2,41.65
109,2593,0.034,9.037543909,0.252,297.4,80.36,867.0403238,394.99466,50.75,0.075,5.0,0.1,14.3,3.7,54.4,14.9,199.35
110,5717,0.04,8.727012859,0.123,331.9,51.43,2461.813314,618.9909989,18.0,1.0,9.0,0.0,26.1,16.1,53.8,17.5,135.71
111,6379,0.04,8.827566099,0.244,406.68,46.99,976.1049804,1438.987565,30.6,0.0,9.0,0.0,26.0,15.4,33.4,6.4,135.71
113,3762,0.038,8.669297339,0.172,365.19,33.72,5990.876668,2352.270923,68.1,0.2,11.0,3.0,8.0,5.2,23.2,5.9,118.62
114,4102,0.033,8.631368156,0.368,185.81,75.01,509.2966715,840.9500542,71.2,0.15,1.0,0.0,21.4,13.2,28.5,4.8,95.62
115,3843,0.036,8.79823489,0.348,257.04,68.87,5136.766685,1897.200621,25.9,3.21,0.0,14.0,17.1,6.8,27.3,4.1,58.45
116,4061,0.039,8.942444176,0.537,289.69,58.12,82.15076953,1588.836399,9.0,2.1,1.0,0.0,43.4,35.9,49.3,10.9,86.6
118,3275,0.028,9.562347137,0.586,108.41,84.5,627.5156759,334.6669724,42.45,0.0,15.0,0.0,23.0,30.2,53.5,8.5,99.29
119,4305,0.042,8.708944404,0.327,238.57,54.29,553.3569845,1012.700646,4.7,0.0,13.0,0.0,23.4,11.6,59.3,16.2,162.03
120,6039,0.028,8.560069979,1.332,257.97,55.0,537.8979899,917.1624436,32.0,1.0,0.0,6.0,14.4,19.8,46.8,6.7,73.39
121,1842,0.027,9.918430785,0.566,108.41,64.4,699.7579956,788.635544,220.05,1.06,11.0,0.0,12.0,7.0,35.3,3.8,98.73
123,3182,0.039,8.997151171,0.32,289.69,73.93,87.09863283,2037.877286,26.25,0.01,3.0,6.5,32.4,25.2,41.6,5.8,53.66
124,6129,0.041,8.80526856,0.298,278.95,72.54,669.5226644,1222.903978,9.0,0.0,3.0,0.0,25.9,11.0,40.8,8.2,135.71
126,5826,0.035,8.385284281,0.143,185.81,45.76,489.2666524,1167.147535,19.0,0.62,0.0,0.0,15.4,18.1,32.5,5.3,99.83
127,11313,0.039,8.645868558,0.219,314.29,25.72,866.4653118,1783.109132,32.8,0.31,2.0,12.2,13.0,4.2,19.1,7.9,120.53
128,2086,0.04,8.590738893,0.169,285.98,82.25,676.0096843,818.6749569,66.3,0.0,6.0,0.5,18.3,6.4,46.2,11.3,136.39
129,3284,0.03,8.922582204,0.43,108.41,39.46,6460.286784,1146.253109,244.1,26.285,13.0,5.0,5.5,4.5,12.3,1.2,129.29
130,1668,0.027,9.827975665,1.279,108.41,20.06,667.0820007,994.4774519,163.9,3.285,11.0,0.25,25.7,29.8,47.7,6.6,152.36
131,4248,0.03,9.153314907,0.778,108.41,88.54,3263.75,792.1810124,21.6,4.425,1.0,0.0,44.2,12.9,44.3,3.0,102.33
132,7055,0.041,8.763733447,0.256,278.95,48.53,633.3046773,865.2033495,24.0,0.1,3.0,0.2,26.3,7.9,40.9,11.4,135.71
133,9244,0.028,8.646736357,1.134,257.97,39.75,576.8706665,926.9113063,28.25,1.195,10.0,0.6,8.2,16.7,34.8,1.7,98.58
134,3635,0.034,9.227717025,0.446,297.4,81.61,952.360677,1155.500678,24.1,0.01,0.0,0.25,26.9,13.0,38.7,4.8,199.35
136,4768,0.039,8.71007411,0.333,285.98,82.0,702.6696574,1388.418256,25.5,0.05,5.0,0.0,19.8,6.0,34.7,9.7,136.39
137,4998,0.043,6.90934692,0.351,548.02,27.91,14.4444332,1575.506161,33.0,0.3,6.0,3.45,9.6,6.4,26.6,8.5,39.03
138,4540,0.031,9.00918509,0.08,108.41,71.96,1597.993001,564.1224362,4.25,0.02,11.0,0.5,31.6,17.5,38.8,6.2,107.76
139,3792,0.028,9.455344585,0.24,108.41,64.89,937.880656,675.872715,182.6,1.37,10.0,0.0,6.4,2.3,38.9,7.3,116.58
140,4335,0.033,8.63772867,1.881,185.81,81.37,750.7859904,3216.078651,13.9,0.1,0.0,0.0,14.1,11.7,20.6,5.7,104.45
141,7743,0.031,8.705649068,0.385,108.41,81.53,603.3123169,2920.434916,17.05,0.125,10.0,0.0,23.1,14.4,22.1,2.9,62.7
142,3258,0.033,8.672844855,0.628,185.81,86.49,1070.55133,3777.497765,4.85,2.0,0.0,0.0,22.8,15.4,31.1,5.8,86.11
144,4427,0.028,8.687952502,0.889,257.97,74.24,449.9283345,2622.192032,3.1,0.0,9.0,2.65,31.0,34.4,38.8,5.4,64.46
145,8122,0.038,9.023901659,0.496,289.69,65.73,97.6865692,1686.076558,91.4,8.95,4.0,12.75,21.9,13.1,23.5,3.0,57.89
146,4743,0.038,8.977734506,0.209,289.69,79.84,90.8536987,1185.978258,41.6,1.285,3.0,9.35,23.4,14.7,28.0,5.6,60.58
147,4111,0.034,9.083510332,0.208,297.4,86.47,918.0943605,418.8513054,39.5,0.035,0.0,0.25,22.3,10.0,57.6,16.5,199.35
148,5326,0.039,8.776691353,0.337,289.69,79.12,89.77629853,1453.702342,47.3,1.36,3.0,1.5,47.0,13.0,53.2,6.5,47.72
149,2071,0.028,9.148487507,0.649,108.41,57.97,1302.406657,2704.601212,299.65,10.445,12.0,5.0,8.2,1.4,29.4,8.8,63.4
150,3890,0.031,7.359472926,0.71,163.37,79.45,0.005604867,1502.58429,158.25,0.0,5.0,0.5,32.7,14.5,46.1,5.0,72.45
151,7703,0.03,9.109343735,0.479,108.41,89.71,2570.819987,726.6201394,10.6,0.5,2.0,0.0,29.6,16.0,38.7,7.4,126.76
152,3962,0.028,8.755992608,0.318,257.97,83.38,416.3233337,629.6195023,10.25,1.05,9.0,1.55,25.7,25.0,28.6,9.4,59.07
153,7440,0.032,8.712181819,0.916,108.41,70.97,503.6706645,1122.110761,22.15,0.0,1.0,0.0,32.0,26.2,51.3,12.9,101.31
154,1427,0.027,9.918430785,0.959,108.41,63.79,686.8393453,473.4797273,156.35,2.73,11.0,0.5,20.2,26.5,52.6,5.5,122.65
155,4360,0.033,8.755664727,0.492,185.81,69.39,581.3893433,3231.984036,6.5,0.0,0.0,0.0,30.5,13.5,34.2,6.6,95.62
157,6055,0.029,9.209329519,0.194,108.41,85.7,603.9510091,636.2137641,44.75,0.0,11.0,0.0,31.1,20.8,53.8,8.2,96.02
158,4310,0.041,8.502253279,0.208,278.52,33.91,696.1543375,777.5331245,30.9,0.1,3.0,0.5,16.3,5.6,34.2,16.4,130.51
159,2912,0.034,8.737777571,0.515,108.41,72.96,481.0053304,2668.377706,41.55,0.01,1.0,0.0,9.8,12.5,26.7,4.9,61.37
160,13212,0.03,6.896810134,0.048,691.71,48.17,0.003251233,667.6690992,135.85,1.1,6.0,7.0,29.4,8.2,37.9,7.4,66.68
161,7062,0.043,8.637345145,0.196,311.75,27.32,209.5831985,447.2224779,14.5,0.65,16.0,0.0,17.9,8.1,48.4,7.0,77.78
162,5559,0.027,9.438123171,0.277,108.41,64.35,597.5326742,801.3663664,263.7,0.295,12.0,0.0,22.0,9.6,43.1,2.4,64.7
163,4964,0.03,8.498563866,0.146,194.45,53.29,773.9299824,1527.394229,42.5,1.85,11.0,17.0,36.9,28.4,51.9,3.1,32.48
166,8040,0.04,8.599308631,0.174,289.69,53.16,73.22653197,1063.299546,17.5,0.05,3.0,0.2,37.4,31.5,48.2,7.1,65.99
167,8080,0.035,8.598793004,0.168,336.78,74.15,530.1953328,1059.090236,34.7,3.895,0.0,1.0,17.0,6.4,16.8,4.1,95.72
168,6729,0.04,8.181308828,0.014,612.71,32.98,903.952657,721.4000639,66.5,5.3,14.0,17.5,12.0,2.3,13.9,4.3,115.27
169,2253,0.036,8.368395378,0.078,499.44,45.25,107.0278676,2700.881064,54.45,0.855,13.0,52.0,19.9,8.2,15.8,5.6,38.01
170,5433,0.03,8.115142802,0.181,108.41,91.36,637.9390055,625.6382603,56.5,0.0,2.0,1.0,37.2,16.5,54.8,7.4,208.36
171,3890,0.028,9.805884825,0.415,108.41,79.03,641.9816589,327.8384915,49.3,0.0,15.0,0.0,23.1,21.8,42.1,7.2,99.29
172,5164,0.028,8.747823793,1.471,257.97,64.36,427.4046631,1605.537262,0.3,0.55,9.0,2.15,13.1,18.0,24.9,2.7,67.98
174,5892,0.03,9.076152015,0.293,108.41,88.27,2385.463338,1887.698087,9.6,0.125,2.0,0.0,15.5,16.3,29.9,4.9,82.36
175,5711,0.04,8.53974629,0.029,315.14,65.09,674.3129984,591.602765,16.75,0.0,4.0,7.0,22.3,12.8,29.8,5.7,129.35
176,7804,0.043,8.420166504,0.156,556.24,62.76,110.5194651,835.1396714,32.0,0.81,0.0,4.0,30.1,5.9,37.6,9.6,59.94
177,5481,0.036,9.609503157,0.32,447.53,63.87,733.7556761,614.2826736,73.5,0.0,2.0,6.2,25.8,11.4,33.4,8.5,36.64
178,7276,0.041,8.569091471,0.091,238.35,39.87,506.0246684,672.567485,24.0,0.0,0.0,9.0,19.5,9.8,44.9,10.9,171.45
179,7947,0.029,8.720162987,0.323,295.43,84.59,264.684667,2160.954889,90.7,0.01,10.0,3.0,29.1,23.1,43.7,3.3,51.24
180,4918,0.04,8.386254,0.281,289.69,76.98,55.36649957,1293.636564,25.5,0.0,3.0,0.0,43.2,22.3,50.5,8.7,65.99
181,4535,0.043,8.718408486,0.175,476.72,27.44,242.3273341,894.3641338,10.85,0.125,10.0,0.0,18.6,10.9,28.6,11.7,57.94
182,5980,0.031,8.992225299,0.252,108.41,49.6,1071.552022,1872.043176,9.75,0.075,9.0,0.0,16.9,7.9,30.0,5.9,88.75
183,5727,0.031,9.055633015,0.433,108.41,68.39,1827.536011,898.9988722,4.0,0.0,2.0,0.0,26.5,13.3,41.3,7.7,107.76
184,2787,0.027,10.18011782,0.524,108.41,74.96,710.9670003,246.3468448,148.45,0.13,10.0,0.0,13.6,14.1,38.6,3.4,152.43
185,4079,0.031,8.036974325,0.436,400.53,81.46,89.37526703,1405.637042,71.65,0.275,0.0,0.6,40.8,39.1,51.7,2.9,45.99
186,8658,0.032,8.293896037,0.403,789.28,74.63,100.6800029,1895.185917,1.0,0.56,12.0,0.0,35.0,14.6,50.0,2.9,44.0
187,5116,0.028,9.409114727,0.352,108.41,70.49,894.8766885,911.6008051,67.05,0.15,10.0,0.0,8.7,4.5,37.6,5.5,104.19
188,5626,0.04,8.871412189,0.465,349.65,65.57,73.65686543,4665.951002,7.55,0.05,0.0,0.0,36.6,28.4,48.3,6.4,71.58
189,3887,0.034,8.698166354,0.292,185.81,86.74,939.0526938,2478.050427,3.7,2.0,0.0,0.0,20.4,12.6,20.0,5.6,94.53
190,3415,0.034,8.96469607,0.151,382.4,70.02,847.4089967,653.2660099,26.25,0.01,7.0,0.0,7.4,4.4,39.5,10.2,199.35
191,7495,0.033,8.669022643,0.312,185.81,52.71,1559.963298,1289.714888,38.8,0.77,0.0,1.5,11.4,7.9,22.5,6.1,94.53
192,2116,0.028,8.660772738,0.817,257.97,72.19,597.4153341,654.9770564,6.1,0.52,10.0,0.0,42.8,25.5,62.3,10.1,64.97
193,7534,0.042,8.691949236,0.151,238.46,37.04,319.1699931,1306.769001,27.5,0.05,13.0,0.0,15.6,1.8,36.5,12.1,157.3
194,6079,0.031,8.005969973,0.174,699.23,87.0,105.4254964,2075.775415,40.25,1.275,0.0,5.0,31.7,6.2,41.4,3.3,67.44
195,5084,0.027,9.499991194,0.274,108.41,54.77,601.4683329,687.392859,154.7,1.835,16.0,0.0,9.9,11.6,20.8,5.9,64.7
196,4369,0.033,8.227877608,0.141,792.21,93.61,108.6792679,1027.041335,125.6,1.3,10.0,0.6,36.4,5.1,39.8,8.6,43.59
197,5256,0.034,8.607480384,1.154,185.81,57.08,736.0413412,1145.722001,17.45,0.1,0.0,0.0,22.7,18.6,32.8,3.7,104.45
198,9279,0.033,8.627023242,0.712,185.81,70.85,587.7043457,758.154359,20.4,0.06,1.0,0.0,26.2,19.1,27.5,5.0,83.02
199,4366,0.028,9.673710228,0.637,108.41,68.01,807.3896891,1802.449805,147.55,1.235,0.0,0.0,3.9,4.2,29.5,6.0,101.46
200,5370,0.036,8.818411341,0.044,1107.86,32.28,1027.600321,1595.544381,18.5,0.2,0.0,2.0,13.6,7.6,17.6,5.1,50.55
201,6472,0.037,8.490723434,0.33,428.22,52.26,204.7716675,1726.271274,168.7,4.79,3.0,13.0,22.3,6.0,29.1,1.7,31.91
202,6513,0.033,8.743402877,0.457,185.81,84.26,700.6240031,3329.50788,8.8,0.0,0.0,0.0,26.1,17.4,38.7,2.8,89.23
